Feature,Importance
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0.0029102233
LongTermDebtAndCapitalLeaseObligationsCurrent,0.002882055
DeferredFederalIncomeTaxExpenseBenefit,0.0028809689
NetCashProvidedByUsedInInvestingActivities,0.00287424
WeightedAverageNumberOfSharesOutstandingBasic_lag1,0.0028273342
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements_change,0.0028155667
InterestPaid_lag1,0.0027887393
OperatingLeasesRentExpenseNet_change,0.0027834682
Goodwill,0.0027637794
DeferredTaxAssetsValuationAllowance_lag1,0.0027578715
GrossProfit,0.002745293
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.0027190987
InvestmentIncomeNet_change,0.0026509713
IncreaseDecreaseInOperatingCapital,0.0026404161
CommonStockSharesOutstanding_change,0.0026235464
OtherLiabilitiesNoncurrent_change,0.0026120506
CashAndCashEquivalentsPeriodIncreaseDecrease,0.0026098997
PaymentsForRepurchaseOfCommonStock_missing,0.0025541817
AssetImpairmentCharges_change,0.0025430755
CommonStockSharesIssued_change,0.0025232134
InterestPaid_change,0.0024204073
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0024057426
DeferredTaxLiabilities_change,0.002382522
DeferredFederalStateAndLocalTaxExpenseBenefit,0.002373342
IncreaseDecreaseInOperatingAssets,0.0022677116
AssetsNoncurrent_lag1,0.002250541
AdditionalPaidInCapital_change,0.0022158357
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,0.0021430908
PaymentsOfOrdinaryDividends_change,0.0021368258
RepaymentsOfLongTermDebtAndCapitalSecurities_change,0.0021247105
AccountsPayableAndAccruedLiabilitiesCurrent_lag1,0.0021139197
DeferredForeignIncomeTaxExpenseBenefit,0.002110874
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_change,0.0020858431
IncreaseDecreaseInAccountsReceivable_lag1,0.002085161
PreferredStockSharesAuthorized_change,0.002076701
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_change,0.0019626678
IncreaseDecreaseInAccruedLiabilities,0.0019224462
OperatingLeasesFutureMinimumPaymentsDueInTwoYears_lag1,0.0017704301
TreasuryStockShares_change,0.0016804485
GoodwillAndIntangibleAssetImpairment_change,0.0015922372
pre_covid,0.0
